Tool,File,Line,Severity,Rule,Message
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/QuizQuestionDTO.cs,12,Warning,CS8618,Non-nullable property 'QuizQuestionText' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/RoleDto.cs,12,Warning,CS8618,Non-nullable property 'Name' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/SubCategoryDto.cs,12,Warning,CS8618,Non-nullable property 'Name' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/SectionDto.cs,12,Warning,CS8618,Non-nullable property 'SectionName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/SectionDto.cs,13,Warning,CS8618,Non-nullable property 'SectionObjective' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/SingleCourseReviewDto.cs,12,Warning,CS8618,Non-nullable property 'CourseTitle' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),     2>/home/runner/work/code-scan/code-scan/target/SingleCourseReviewDto.cs,14,Warning,CS8618,Non-nullable property 'InstructorName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/AddVideotoVideo.cs,17,Warning,CS8618,Non-nullable property 'VideoName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/AddVideotoVideo.cs,21,Warning,CS8618,Non-nullable property 'Description' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/AddVideotoVideo.cs,22,Warning,CS8618,Non-nullable property 'FileType' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/AddVideotoVideo.cs,23,Warning,CS8618,Non-nullable property 'VideoFileUpload' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/AddVideoDto.cs,12,Warning,CS8618,Non-nullable property 'VideoTitle' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/AddVideoDto.cs,13,Warning,CS8618,Non-nullable property 'VideoDescription' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/AddVideoDto.cs,18,Warning,CS8618,Non-nullable property 'VideoContent' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/VideoUploadRequest.cs,14,Warning,CS8618,Non-nullable property 'VideoTitle' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/VideoUploadRequest.cs,16,Warning,CS8618,Non-nullable property 'VideoDescription' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/VideoUploadRequest.cs,21,Warning,CS8618,Non-nullable property 'VideoFile' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/AssignmentAnswerDto.cs,12,Warning,CS8618,Non-nullable property 'AssignmentAnswersText' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/AssignmentQuestionDto.cs,13,Warning,CS8618,Non-nullable property 'AssignmentQuestionText' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/CategoryDto.cs,12,Warning,CS8618,Non-nullable property 'Name' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/CountryDialCodeDto.cs,11,Warning,CS8618,Non-nullable property 'Name' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/CountryDialCodeDto.cs,12,Warning,CS8618,Non-nullable property 'Code' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/CountryDialCodeDto.cs,13,Warning,CS8618,Non-nullable property 'DialCode' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/VideoSummeryDto.cs,12,Warning,CS8618,Non-nullable property 'VideoName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/VideoSummeryDto.cs,13,Warning,CS8618,Non-nullable property 'Description' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/VideoSummeryDto.cs,14,Warning,CS8618,Non-nullable property 'FileType' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/CourseCardDto.cs,12,Warning,CS8618,Non-nullable property 'CourseTitle' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/CourseCardDto.cs,13,Warning,CS8618,Non-nullable property 'Level' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/CourseCardDto.cs,14,Warning,CS8618,Non-nullable property 'ThumbnailUrl' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/CourseCardDto.cs,16,Warning,CS8618,Non-nullable property 'UserFullName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/CourseCardDto.cs,17,Warning,CS8618,Non-nullable property 'PhotoPath' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
.NET(build),         /home/runner/work/code-scan/code-scan/target/CourseDisplayDto.cs,12,Warning,CS8618,Non-nullable property 'Thumbnail' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.
